violation_code,violation_desc,times_cited,on_failures,pct_on_fail
59,PREVIOUS PRIORITY FOUNDATION VIOLATION CORRECTED,1474,1347,91.4
50,HOT & COLD WATER AVAILABLE; ADEQUATE PRESSURE,1153,928,80.5
60,PREVIOUS CORE VIOLATION CORRECTED,5521,4290,77.7
25,CONSUMER ADVISORY PROVIDED FOR RAW/UNDERCOOKED FOOD,2557,1954,76.4
48,"WAREWASHING FACILITIES: INSTALLED, MAINTAINED & USED; TEST STRIPS",6795,4794,70.6
38,"INSECTS, RODENTS, & ANIMALS NOT PRESENT",19094,12846,67.3
54,GARBAGE & REFUSE PROPERLY DISPOSED; FACILITIES MAINTAINED,5118,3117,60.9
52,SEWAGE & WASTE WATER PROPERLY DISPOSED,1863,1106,59.4
8,HANDS CLEAN & PROPERLY WASHED,665,363,54.6
33,PROPER COOLING METHODS USED; ADEQUATE EQUIPMENT FOR TEMPERATURE CONTROL,3753,2019,53.8
21,PROPER HOT HOLDING TEMPERATURES,1146,613,53.5
10,ADEQUATE HANDWASHING SINKS PROPERLY SUPPLIED AND ACCESSIBLE,22243,11878,53.4
14,"REQUIRED RECORDS AVAILABLE: SHELLSTOCK TAGS, PARASITE DESTRUCTION",554,285,51.4
29,COMPLIANCE WITH VARIANCE/SPECIALIZED PROCESS/HACCP,576,295,51.2
1,"PERSON IN CHARGE PRESENT, DEMONSTRATES KNOWLEDGE, AND PERFORMS DUTIES",4414,2250,51.0
16,FOOD-CONTACT SURFACES: CLEANED & SANITIZED,7525,3768,50.1
23,PROPER DATE MARKING AND DISPOSITION,1845,912,49.4
3,"MANAGEMENT, FOOD EMPLOYEE AND CONDITIONAL EMPLOYEE; KNOWLEDGE, RESPONSIBILITIES AND REPORTING",7295,3564,48.9
5,PROCEDURES FOR RESPONDING TO VOMITING AND DIARRHEAL EVENTS,7199,3429,47.6
36,THERMOMETERS PROVIDED & ACCURATE,7315,3456,47.2
61,SUMMARY REPORT DISPLAYED AND VISIBLE TO THE PUBLIC,1560,735,47.1
2,CITY OF CHICAGO FOOD SERVICE SANITATION CERTIFICATE,9019,4187,46.4
22,PROPER COLD HOLDING TEMPERATURES,5275,2445,46.4
64,MISCELLANEOUS / PUBLIC HEALTH ORDERS,1034,399,38.6
45,SINGLE-USE/SINGLE-SERVICE ARTICLES: PROPERLY STORED & USED,3302,1214,36.8
39,"CONTAMINATION PREVENTED DURING FOOD PREPARATION, STORAGE & DISPLAY",9705,3536,36.4
57,ALL FOOD EMPLOYEES HAVE FOOD HANDLER TRAINING,11274,4101,36.4
44,"UTENSILS, EQUIPMENT & LINENS: PROPERLY STORED, DRIED, & HANDLED",3408,1237,36.3
6,"PROPER EATING, TASTING, DRINKING, OR TOBACCO USE",566,205,36.2
35,APPROVED THAWING METHODS USED,1031,373,36.2
41,WIPING CLOTHS: PROPERLY USED & STORED,5256,1877,35.7
37,FOOD PROPERLY LABELED; ORIGINAL CONTAINER,10194,3526,34.6
53,"TOILET FACILITIES: PROPERLY CONSTRUCTED, SUPPLIED, & CLEANED",14408,4967,34.5
49,NON-FOOD/FOOD CONTACT SURFACES CLEAN,25052,8406,33.6
56,ADEQUATE VENTILATION & LIGHTING; DESIGNATED AREAS USED,19029,6355,33.4
40,PERSONAL CLEANLINESS,4375,1447,33.1
51,PLUMBING INSTALLED; PROPER BACKFLOW DEVICES,21570,7096,32.9
55,"PHYSICAL FACILITIES INSTALLED, MAINTAINED & CLEAN",66187,21791,32.9
47,"FOOD & NON-FOOD CONTACT SURFACES CLEANABLE, PROPERLY DESIGNED, CONSTRUCTED & USED",31231,10005,32.0
43,IN-USE UTENSILS: PROPERLY STORED,3572,1111,31.1
58,ALLERGEN TRAINING AS REQUIRED,13056,4065,31.1
